episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,coef_dis
21300,148193,154.22,159.0,166.0,277.9981,265.37,273.77,1187.0,0.038292682926829275,0.8
21400,148986,174.93,175.0,187.0,291.81730000000005,271.07,278.67,1187.0,0.038292682926829275,0.8
21500,149768,161.0,161.0,169.0,287.4721,270.21,278.77,1187.0,0.038292682926829275,0.8
21600,150545,192.98000000000002,147.0,154.0,281.0277,260.98,269.16,1187.0,0.038292682926829275,0.8
21700,151319,241.34,206.0,215.0,283.4374,267.5,275.9,1187.0,0.038292682926829275,0.8
21800,152118,933.72,968.0,973.0,322.20779999999996,294.79,303.08,1187.0,0.03796747967479675,0.8
21900,152918,185.98999999999998,170.0,182.0,314.55190000000005,292.27,300.3,1187.0,0.03796747967479675,0.8
22000,153716,383.02,322.0,328.0,303.95140000000004,287.72,295.84,1187.0,0.03796747967479675,0.8
22100,154513,384.98,353.0,356.0,303.65070000000003,279.6,288.06,1187.0,0.03796747967479675,0.8
22200,155309,112.97999999999999,157.0,167.0,283.0704,265.03,273.22,1187.0,0.03796747967479675,0.8
22300,156095,286.02,207.0,218.0,281.52049999999997,260.54,268.62,1187.0,0.03764227642276423,0.8
22400,156869,252.94,196.0,203.0,288.85849999999994,268.08,275.3,1187.0,0.03764227642276423,0.8
22500,157650,754.56,724.0,736.0,317.35830000000004,291.72,299.82,1187.0,0.03764227642276423,0.8
22600,158430,154.78,242.0,250.0,291.4688,269.54,277.55,1187.0,0.03764227642276423,0.8
22700,159214,268.42,189.0,196.0,277.48119999999994,256.44,264.6,1187.0,0.03764227642276423,0.8
22800,159974,431.18,392.0,400.0,284.98810000000003,267.98,276.24,1187.0,0.03731707317073171,0.8
22900,160769,234.04999999999998,226.0,239.0,298.9751,270.23,278.2,1187.0,0.03731707317073171,0.8
23000,161566,356.97,302.0,313.0,308.57689999999997,293.26,301.4,1187.0,0.03731707317073171,0.8
23100,162377,256.17,195.0,205.0,295.31719999999996,271.17,279.44,1187.0,0.03731707317073171,0.8
23200,163165,1.990000000000009,154.0,163.0,282.6373,257.1,265.18,1187.0,0.03731707317073171,0.8
23300,163948,298.27,219.0,227.0,283.3708,265.05,272.44,1187.0,0.03699186991869919,0.8
23400,164734,220.6,253.0,259.0,297.13079999999997,274.67,282.46,1187.0,0.03699186991869919,0.8
23500,165528,414.40999999999997,390.0,400.0,301.50129999999996,278.02,286.03,1187.0,0.03699186991869919,0.8
23600,166317,303.95,234.0,239.0,311.4456,290.9,298.82,1275.0,0.03699186991869919,0.8
23700,167100,416.2,356.0,364.0,301.7088,276.52,284.48,1275.0,0.03699186991869919,0.8
23800,167880,161.86,193.0,200.0,329.7357,299.21,306.99,1275.0,0.03699186991869919,0.8
23900,168688,408.3,364.0,373.0,330.8779,299.81,307.68,1275.0,0.03666666666666667,0.8
24000,169492,303.44,226.0,236.0,304.0267,274.65,282.19,1275.0,0.03666666666666667,0.8
24100,170290,561.8199999999999,502.0,511.0,308.612,270.64,278.18,1275.0,0.03666666666666667,0.8
24200,171095,187.7,198.0,202.0,310.0213,288.06,296.09,1275.0,0.03666666666666667,0.8
24300,171893,121.03999999999999,108.0,113.0,315.55030000000005,286.59,294.35,1275.0,0.03666666666666667,0.8
24400,172699,522.24,459.0,467.0,296.38239999999996,275.78,283.3,1275.0,0.03634146341463415,0.8
24500,173518,135.39000000000001,150.0,160.0,298.5146,269.49,276.92,1275.0,0.03634146341463415,0.8
24600,174332,71.75999999999999,85.0,94.0,318.1275,280.84,288.49,1275.0,0.03634146341463415,0.8
24700,175144,551.0,477.0,484.0,317.34790000000004,293.19,300.92,1275.0,0.03634146341463415,0.8
24800,175953,320.09000000000003,311.0,316.0,305.9327,282.79,290.01,1275.0,0.03634146341463415,0.8
24900,176758,136.46,72.0,78.0,283.9024,261.04,269.29,1275.0,0.03601626016260163,0.8
25000,177579,435.41,330.0,336.0,324.066,291.6,299.9,1275.0,0.03601626016260163,0.8
25100,178402,185.85000000000002,196.0,206.0,292.5768,257.79,265.96,1275.0,0.03601626016260163,0.8
25200,179218,450.94,435.0,442.0,306.7715,276.85,284.69,1275.0,0.03601626016260163,0.8
25300,180026,278.72,299.0,304.0,314.5923,284.95,293.43,1275.0,0.03601626016260163,0.8
25400,180828,122.04,119.0,122.0,325.6402,298.71,306.55,1275.0,0.035691056910569105,0.8
25500,181634,344.74,253.0,260.0,321.99260000000004,280.01,287.87,1275.0,0.035691056910569105,0.8
25600,182444,263.65999999999997,219.0,231.0,308.7571,282.23,289.57,1275.0,0.035691056910569105,0.8
25700,183244,667.16,659.0,668.0,318.07230000000004,291.27,299.2,1275.0,0.035691056910569105,0.8
25800,184038,266.8,250.0,255.0,291.3811,262.92,270.98,1275.0,0.035691056910569105,0.8
25900,184831,117.5,113.0,123.0,311.41290000000004,279.07,286.99,1275.0,0.03536585365853659,0.8
26000,185621,269.75,206.0,215.0,322.3641,293.28,301.15,1275.0,0.03536585365853659,0.8
26100,186417,528.44,532.0,543.0,342.1044000000001,309.62,317.67,1275.0,0.03536585365853659,0.8
26200,187206,641.16,581.0,592.0,316.06260000000003,286.84,294.84,1275.0,0.03536585365853659,0.8
